序号,领域,类别,问题,扩展问题,SegmentedInput,SegmentedTarget
0,个人存款,定期存款,零存整取存期分为多少期,零存整取存款分几期,零存整取 存期 分为 多少 期,零存整取 存款 分 几期
1,个人存款,定期存款,零存整取存期分为多少期,零存整取定期有多少期,零存整取 存期 分为 多少 期,零存整取 定期 有 多少 期
2,个人存款,定期存款,零存整取存期分为多少期,零存整取能办理一个月吗,零存整取 存期 分为 多少 期,零存整取 能 办理 一个月 吗
3,个人存款,定期存款,零存整取存期分为多少期,零存整取能存多久,零存整取 存期 分为 多少 期,零存整取 能存 多久
4,个人存款,定期存款,零存整取存期分为多少期,零存整取一般多久,零存整取 存期 分为 多少 期,零存整取 一般 多久
5,个人存款,定期存款,零存整取存期分为多少期,零存整取有一年吗,零存整取 存期 分为 多少 期,零存整取 有 一年 吗
6,个人存款,定期存款,零存整取存期分为多少期,零存整取最长存多久,零存整取 存期 分为 多少 期,零存整取 最长 存 多久
7,个人存款,定期存款,零存整取存期分为多少期,零存整取最短多久,零存整取 存期 分为 多少 期,零存整取 最短 多久
8,个人存款,定期存款,零存整取存期分为多少期,有六个月零存整取吗,零存整取 存期 分为 多少 期,有 六个月 零存整取 吗
9,个人存款,定期存款,零存整取存期分为多少期,有三个月零存整取吗,零存整取 存期 分为 多少 期,有 三个 月 零存整取 吗
10,个人存款,定期存款,零存整取的计息规则,零存整取不足半年计息,零存整取 的 计息 规则,零存整取 不足 半年 计息
11,个人存款,定期存款,零存整取的计息规则,零存整取超过半年计息,零存整取 的 计息 规则,零存整取 超过 半年 计息
12,个人存款,定期存款,零存整取的计息规则,零存整取存期内利率提高怎么办,零存整取 的 计息 规则,零存整取 存 期内 利率 提高 怎么办
13,个人存款,定期存款,零存整取的计息规则,零存整取存期内利率下调怎么办,零存整取 的 计息 规则,零存整取 存 期内 利率 下调 怎么办
14,个人存款,定期存款,零存整取的计息规则,零存整取的计息要求,零存整取 的 计息 规则,零存整取 的 计息 要求
15,个人存款,定期存款,零存整取的计息规则,零存整取的利息规定,零存整取 的 计息 规则,零存整取 的 利息 规定
16,个人存款,定期存款,零存整取的计息规则,零存整取的利息规则,零存整取 的 计息 规则,零存整取 的 利息 规则
17,个人存款,定期存款,零存整取的计息规则,零存整取提前支取利息,零存整取 的 计息 规则,零存整取 提前 支取 利息
18,个人存款,定期存款,零存整取的计息规则,零存整取逾期支取利息,零存整取 的 计息 规则,零存整取 逾期 支取 利息
19,个人存款,定期存款,零存整取的计息规则,零存整取遇到利息变化怎么办,零存整取 的 计息 规则,零存整取 遇到 利息 变化 怎么办
20,个人存款,定期存款,零存整取能否部分提前支取,零存整取部分提前支取可以吗,零存整取 能否 部分 提前 支取,零存整取 部分 提前 支取 可以 吗
21,个人存款,定期存款,零存整取能否部分提前支取,零存整取部分提前支取需要看身份证吗,零存整取 能否 部分 提前 支取,零存整取 部分 提前 支取 需要 看 身份证 吗
22,个人存款,定期存款,零存整取能否部分提前支取,零存整取可以不可以没到期取一部分,零存整取 能否 部分 提前 支取,零存整取 可以 不 可以 没 到期 取 一部分
23,个人存款,定期存款,零存整取能否部分提前支取,零存整取没到期支取可以吗,零存整取 能否 部分 提前 支取,零存整取 没 到期 支取 可以 吗
24,个人存款,定期存款,零存整取能否部分提前支取,零存整取能不能部分提前支取,零存整取 能否 部分 提前 支取,零存整取 能 不能 部分 提前 支取
25,个人存款,定期存款,零存整取能否部分提前支取,零存整取能否凭证件提前支取,零存整取 能否 部分 提前 支取,零存整取 能否 凭证 件 提前 支取
26,个人存款,定期存款,零存整取能否部分提前支取,零存整取能否全部提前支取,零存整取 能否 部分 提前 支取,零存整取 能否 全部 提前 支取
27,个人存款,定期存款,零存整取能否部分提前支取,零存整取让不让部分提前支取,零存整取 能否 部分 提前 支取,零存整取 让 不让 部分 提前 支取
