,training_data_thu.csv_diff,count1,training_data_ICTCLAS.csv_diff,count2,training_data_thu.csv_SegmentedInput,training_data_ICTCLAS.csv_SegmentedInput
0,! 零存 ! 几 ! 期,3,! 零 ! 存 ! 几期,3,零存 整取 存款 分 几 期,零 存 整取 存款 分 几期
1,! 零存,1,! 零 ! 存,2,零存 整取 定期 有 多少 期,零 存 整取 定期 有 多少 期
2,! 零存,1,! 零 ! 存,2,零存 整取 能 办理 一个 月 吗,零 存 整取 能 办理 一个 月 吗
3,! 零存,1,! 零 ! 存,2,零存 整取 能 存 多久,零 存 整取 能 存 多久
4,! 零存,1,! 零 ! 存,2,零存 整取 一般 多久,零 存 整取 一般 多久
5,! 零存 ! 一 ! 年,3,! 零 ! 存 ! 一年,3,零存 整取 有 一 年 吗,零 存 整取 有 一年 吗
6,! 零存,1,! 零 ! 存,2,零存 整取 最 长存 多久,零 存 整取 最 长存 多久
7,! 零存,1,! 零 ! 存,2,零存 整取 最 短 多久,零 存 整取 最 短 多久
8,! 六 ! 个 ! 零存,3,! 六个 ! 零 ! 存,3,有 六 个 月 零存 整取 吗,有 六个 月 零 存 整取 吗
9,! 三 ! 个 ! 零存,3,! 三个 ! 零 ! 存,3,有 三 个 月 零存 整取 吗,有 三个 月 零 存 整取 吗
10,! 零存 ! 半 ! 年 ! 计 ! 息,5,! 零 ! 存 ! 半年 ! 计息,4,零存 整取 不足 半 年 计 息,零 存 整取 不足 半年 计息
11,! 零存 ! 半年计 ! 息,3,! 零 ! 存 ! 半年 ! 计息,4,零存 整取 超过 半年计 息,零 存 整取 超过 半年 计息
12,! 零存 ! 存期 ! 怎么办,3,! 零 ! 存 ! 存 ! 期 ! 怎么 ! 办,6,零存 整取 存期 内 利率 提高 怎么办,零 存 整取 存 期 内 利率 提高 怎么 办
13,! 零存 ! 存期 ! 怎么办,3,! 零 ! 存 ! 存 ! 期 ! 怎么 ! 办,6,零存 整取 存期 内 利率 下调 怎么办,零 存 整取 存 期 内 利率 下调 怎么 办
14,! 零存,1,! 零 ! 存,2,零存 整取 的 计息 要求,零 存 整取 的 计息 要求
15,! 零存,1,! 零 ! 存,2,零存 整取 的 利息 规定,零 存 整取 的 利息 规定
16,! 零存,1,! 零 ! 存,2,零存 整取 的 利息 规则,零 存 整取 的 利息 规则
17,! 零存,1,! 零 ! 存,2,零存 整取 提前 支取 利息,零 存 整取 提前 支取 利息
18,! 零存,1,! 零 ! 存,2,零存 整取 逾期 支取 利息,零 存 整取 逾期 支取 利息
